id,year
513,2018
514,2018
515,2017
516,2016
517,2016
518,2016
519,2016
520,2015
521,2015
522,2015
523,2015
524,2015
525,2015
526,2014
527,2014
528,2014
529,2014
530,2021
531,2021
532,2021
533,2021
534,2020
535,2019
536,2019
537,2018
538,2018
539,2018
540,2017
541,2017
542,2017
543,2017
544,2016
545,2016
546,2016
547,2016
548,2016
549,2015
550,2015
551,2015
552,2015
553,2014
554,2014
555,2014
556,2021
557,2020
558,2020
559,2019
560,2019
561,2019
562,2018
563,2018
564,2018
565,2018
566,2017
567,2017
568,2017
569,2016
570,2016
571,2016
572,2016
573,2016
574,2016
575,2016
576,2016
577,2015
578,2015
579,2014
580,2014
581,2014
582,2014
583,2021
584,2021
585,2021
586,2021
587,2021
588,2021
589,2020
590,2020
591,2020
592,2020
593,2020
594,2020
595,2020
596,2019
597,2019
598,2019
599,2019
600,2019
601,2018
602,2018
603,2018
604,2016
605,2016
606,2015
607,2015
608,2015
609,2014
610,2013
611,2013
612,2021
613,2021
614,2021
615,2021
616,2021
617,2021
618,2020
619,2020
620,2020
621,2020
622,2020
623,2019
624,2019
625,2019
626,2019
627,2018
628,2018
629,2017
630,2017
631,2016
632,2016
633,2016
634,2016
635,2015
636,2015
637,2015
638,2015
639,2014
640,2014
641,2014
