id,keyword
108,HETEROCYCLES; PYRIMIDINONE; ACID
109,POLY(4-VINYLPYRIDINE); CORROSION; INHIBITOR
110,SAFETY
111,MILD-STEEL; PLANT-EXTRACT; C38 STEEL; ACID; DERIVATIVES; BEHAVIOR; COPPER
112,M HCL SOLUTION; CARBON-STEEL; ACIDIC MEDIUM; EXTRACT; ADSORPTION; SURFACE; BEHAVIOR; DFT; PROTECTION; PLANT
113,CORROSION INHIBITION; COPPER; OIL
114,INDUSTRIAL; FOOTPRINT
115,GROUNDWATER QUALITY; NITRATE; WATER; AGRICULTURE; CONTAMINATION; RECHARGE; SOILS
116,LAYERED DOUBLE HYDROXIDES; AQUEOUS-SOLUTION; INDIGO CARMINE; WASTE-WATER; METAL-IONS; REMOVAL; SURFACE; ACID; PERFORMANCE; PESTICIDE
117,SUGAR SOLUTION CLARIFICATION; WASTE-WATER TREATMENT; AQUEOUS-SOLUTION; NANOFILTRATION; DEGRADATION; INDUSTRY; REMOVAL; REUSE
118,THIOPHENE; ANALOGS; MOIETY
119,WASTE-WATER; REMOVAL; DEGRADATION
120,SENSORS; OXIDASE
121,CURING AGENT; DIELECTRIC-PROPERTIES; KINETICS
122,1,3-DIPOLAR CYCLOADDITION REACTIONS; POLARIZABLE CONTINUUM MODEL; FUKUI FUNCTION; DIELS-ALDER; AB-INITIO; MOLECULES; NITRONE; INDEX; ELECTROPHILICITY; MECHANISM
123,AROMATIC-AROMATIC INTERACTIONS; INDEPENDENT CHEMICAL-SHIFTS; THERMOCHEMICAL KINETICS; DENSITY FUNCTIONALS; DIMER; SYSTEMS; DESIGN; MODEL
124,SEWAGE-SLUDGE; PHYSICAL-PROPERTIES; ORNAMENTAL PLANTS; WASTE COMPOST; MANURE; MATURITY; PARAMETERS; STABILITY; GROWTH
125,GLASSES; SYSTEM; SCAFFOLDS; MELT; HYDROXYAPATITE; DISSOLUTION; ADHESION; 45S5
126,PURE IRON; ACID-SOLUTIONS; HALIDE-IONS; DERIVATIVES; ADSORPTION; POLY(4-VINYLPYRIDINE); POLYACRYLAMIDE; HYDROCHLORIDE; ACRYLAMIDE; BROMIDE)
127,FILTRATION; REMOVAL; DYES
128,SURFACE-AREA; PHOSPHATES; SYSTEM; BASE
129,LOW-COST; SMARTPHONE COLORIMETRY; ANALYTICAL-CHEMISTRY; LIGHT-SOURCE; PHOTOMETER; SPECTROSCOPY; CONSTRUCTION; WATER; SPECTROMETER; FLUOROMETER
130,MILD-STEEL CORROSION; 1.0 M HCL; ANTITUMOR ACTIVITIES; SCHIFF-BASES; CARBON-STEEL; ALUMINUM; DERIVATIVES; QUERCETIN; IMPEDANCE; BEHAVIOR
131,ANTIOXIDANT ACTIVITY; CAPACITY
132,ADSORPTION PROCESSES; SULFURIC-ACID; H2SO4; DERIVATIVES; HCL; OIL
133,CRYSTAL-STRUCTURE; SUSCEPTIBILITY; PYROPHOSPHATE; ESR
134,AQUEOUS-SOLUTION; ACID ACTIVATION; ADSORPTION; IONS; MONTMORILLONITE; DEFLUORIDATION; KAOLINITE; ADSORBENT; LATERITE; CLAY
135,GLASS-TRANSITION TEMPERATURES; CORROSION-INHIBITORS; MILD-STEEL; PREDICTION; MONOMER
136,PERFORMANCE LIQUID-CHROMATOGRAPHY; PHARMACEUTICAL FORMULATIONS; PI-ACCEPTORS; HUMAN PLASMA; HUMAN SERUM; RP-HPLC; VALIDATION; PANTOPRAZOLE; BULK; LANSOPRAZOLE
137,SLUDGE; WASTE
138,AGAVE-AMERICANA FIBERS; METHYLENE-BLUE; FRACTAL KINETICS; ADSORPTION; EQUILIBRIUM; CARBON; BIOSORPTION; BEHAVIOR; ISOTHERM; BIOMASS
139,SELECTIVITY
140,DYES; DEGRADATION; ACID; ION
141,SODIUM DODECYL-SULFATE; POLY(ETHYLENE OXIDE); PHASE-BEHAVIOR; POLYELECTROLYTE; SURFACTANT; BROMIDE; WATER; THERMODYNAMICS; FLUORESCENCE; AGGREGATION
142,AQUEOUS-SOLUTIONS; TRANSPORT; EQUILIBRIUM
143,CORE POLARIZATION POTENTIALS; HOLE-PARTICLE TREATMENT; GAS EXCIMER SYSTEMS; ELECTRONIC-STRUCTURE; RYDBERG STATES; MATRICES; ALKALI; ENERGY; ATOMS; MOLECULE
144,MILD-STEEL; IMPEDANCE SPECTROSCOPY; ANTIBACTERIAL DRUGS; CARBON-STEEL; WEIGHT-LOSS; ELECTRODES; ALUMINUM; BEHAVIOR
145,MEDICINAL-PLANTS; L.
146,COMPRESSIVE STRENGTH; DRUG-DELIVERY
147,SOILS
148,WASTE-WATER; BIOLOGICAL TREATMENT; REMOVAL; PYRITE; WASTEWATERS; OXIDATION; KINETICS
149,OXIDATIVE STABILITY; QUALITY; PROTEIN; STORAGE; SAFETY; FOOD; OILS
150,MEDICINE; PLANT
151,CONGO RED; MODIFIED BENTONITE; MALACHITE GREEN; ACID ACTIVATION; REMOVAL; KINETICS; EQUILIBRIUM; ADSORBENT; MONTMORILLONITE; NANOPARTICLES
152,FLIPPED CLASSROOM; EDUCATION
153,CHEMISTRY; RIVER; GEOCHEMISTRY; EVOLUTION; AQUIFER; INDIA; CHINA; WATER; AREA
154,SWEET-POTATO; ANTIOXIDANT
155,HYDROGEN STORAGE; ROOM-TEMPERATURE; FIELD-EMISSION; NANOWIRES
156,SPECTROPHOTOMETRIC METHODS; HPLC METHOD; HUMAN PLASMA; HUMAN SERUM; LC METHOD; MALEATE; HYDROCHLORIDE; DORZOLAMIDE; VALIDATION; BULK
157,FACILITY
158,HYDRAZONE
159,CAFFEINE CONTENT; BLACK
160,STARCH; BLENDS
161,DIELECTRIC-PROPERTIES; ELECTRICAL-PROPERTIES; BARIUM; SUBSTITUTION
162,INFUSIONS; LEAVES; L.
163,ABSOLUTE ELECTRONEGATIVITY; SCHIFF-BASE; HARDNESS; INSIGHT
164,NANOPARTICLES; STABILITY
165,BIOSORPTION; REMOVAL
166,RADICAL-SCAVENGING ACTIVITY; CHEMISTRY
167,TEXTILE WASTE-WATER; BIODEGRADABILITY; FLOTATION; EMULSIONS
168,PARCHMENT-SUPPORTED MEMBRANES; INORGANIC PRECIPITATE MEMBRANES; FIXED CHARGE-DENSITY; TRANSPORT-PROPERTIES; COMPOSITE MEMBRANE; PERMSELECTIVITY; PERMEATION; ENERGETICS; DIFFUSION
169,PHARMACEUTICAL FORMULATIONS; STRIPPING VOLTAMMETRY; HPLC
170,ADSORPTION; ION; ORIENTATION; DERIVATIVES; PARAMETERS; PECTIN; LIQUID
171,1 M HCL; ANTIOXIDANT ACTIVITY; PHENOLIC-COMPOUNDS; ESSENTIAL OILS; EXTRACTS; DERIVATIVES; CONSTITUENTS; ANTIFUNGAL; IRON; L.
172,BENZENE-DERIVATIVES
173,METHYL CHOLATE; FACILITATED TRANSPORT; SELECTIVE TRANSPORT; PHOSPHORIC-ACID; EXTRACTION; SEPARATION; RESORCINARENE; REMOVAL; ALDITOLS; CARRIER
174,COLD-ROLLED STEEL; MILD-STEEL; SULFURIC-ACID; HCL; ALUMINUM; NACL
175,PSEUDOMONAS-DESMOLYTICUM NCIM-2112; WASTE-WATER; IN-VITRO; DECOLORIZATION; DEGRADATION; BIODEGRADATION; CONSORTIUM; EFFICACY
176,CATALYST
177,ACTIVATED CARBON; ADSORPTION; MODELS; EQUILIBRIUM
178,CRYSTAL INTERACTIONS; SCHIFF-BASE; DNA-BINDING; COMPLEXES; CORROSION; SURFACE; DESIGN; XRD
179,DRINKING-WATER; WASTE-WATER; CLAY-MINERALS; REMOVAL; MONTMORILLONITE; GROUNDWATER; KAOLINITE; SORPTION; IONS; DEFLUORIDATION
180,ACTIVATED CARBON; AQUEOUS-SOLUTION; CHEMICAL ACTIVATION; METHYLENE-BLUE; EQUILIBRIUM; PARTICLES; SHELL
181,TEMPERATURE
182,AQUEOUS-SOLUTIONS; ACID DYE; ADSORPTION; KINETICS; EQUILIBRIUM; ACID-BLUE-193; ADSORBENT; PHENOL; WATER; PEEL
183,SOLAR PHOTOCATALYTIC DEGRADATION; AZO-DYE; TIO2 NANOPARTICLES; DECOLORIZATION; OXIDATION; SIZE; ZNO; ELECTROCOAGULATION; PHOTODEGRADATION
184,CARBON-DIOXIDE EXTRACTION; CHEMICAL-COMPOSITION; ANTIFUNGAL ACTIVITY; AERIAL PARTS; SUSCEPTIBILITY; APIACEAE; PLANTS
185,MARTENSITIC-TRANSFORMATION; PHASE-TRANSFORMATION; TI49.2NI50.8 ALLOY; NI-ALLOYS; TEMPERATURE
186,1 M HCL; MILD-STEEL; CORROSION INHIBITION; HYDROCHLORIC-ACID; CARBON-STEEL; ADSORPTION PROPERTIES; C38 STEEL; L.; BEHAVIOR; WILD
187,LAND-USE; STREAM; ASSEMBLAGES; HABITAT; INVERTEBRATES; BIODIVERSITY; COMMUNITIES; CATCHMENT; ZYGOPTERA; SEDIMENTS
188,REACTIVE DYES; WASTE-WATER; AZO-DYE; TIO2 SUSPENSIONS; FENTON PROCESSES; DEGRADATION; ZNO; OXIDATION; CATALYST
189,X-RAY-STRUCTURE; METAL-COMPLEXES; COPPER(II) COMPLEXES; CRYSTAL-STRUCTURES; STRUCTURAL-CHARACTERIZATION; SPECTRAL CHARACTERIZATION; PLATINUM(II) COMPLEXES; ANTIBACTERIAL ACTIVITY; ZINC(II) COMPLEXES; MANNICH-BASES
190,MOLECULAR-SIEVES; CARBON-DIOXIDE; SBA-15 MATERIALS; ADSORPTION; FRAMEWORK; REMOVAL; TOLUENE; MCM-41; GAS; CO2
191,CLAISEN-SCHMIDT CONDENSATION; LAYERED DOUBLE HYDROXIDES; CATALYTIC-ACTIVITY; THERMAL-DECOMPOSITION; TEXTURAL PROPERTIES; BASE CATALYSTS; OXIDES; BASICITY; SURFACE; MG/AL
192,WATER-QUALITY
193,MODELS; DISTILLATION
194,POLYMER COMPOSITES; PREDICTION; BEHAVIOR; PHOTOOXIDATION; TEMPERATURE
195,CLAY-MINERALS; SURFACE-AREA; ADSORPTION; SORPTION; NANOCOMPOSITES; CONTAMINANTS; DERIVATIVES; REMOVAL; CATIONS; PHENOL
196,AQUEOUS-SOLUTIONS; HEAVY-METALS; ARSENIC REMOVAL; BENTONITE CLAY; CADMIUM IONS; ULTRAFILTRATION; COMPLEXATION; OPTIMIZATION; EQUILIBRIUM; BIOSORPTION
197,TRACE-ELEMENT CONTAMINATION; QUALITY ASSESSMENT; PROVINCE TUSCANY
198,CATALYTIC-ACTIVITY; ROOM-TEMPERATURE; NANOPARTICLES; BIOSYNTHESIS; REDUCTION; L.; NANOCOMPOSITE; CYANATION; ACID; DYES
199,PHOSPHATE SOLUBILIZING MICROORGANISMS; PLANT-GROWTH PROMOTION; ROCK PHOSPHATE; MEDICAGO-SATIVA; CHLOROPHYLL FLUORESCENCE; PHOSPHORUS ACQUISITION; RHIZOBIA SYMBIOSIS; NODULATION; MINERALIZATION; NITROGEN
200,AQUEOUS-SOLUTION; REMOVAL; ADSORPTION; WASTE; WATER
201,PLANT-GROWTH; WATER-STRESS; SALT; TOLERANCE; OXYGEN; ROOT; PEROXIDATION; GLUTATHIONE; VARIETIES; NODULES
202,MILD-STEEL CORROSION; ACID; HCL; THIOSEMICARBAZONE; IODIDE; WATER
203,LIGHT-EMITTING-DIODES; IMPEDANCE SPECTROSCOPY; 5CB; ANISOTROPY; MECHANISM; DEVICES
204,ATOMIC LAYER DEPOSITION; ARTIFICIAL LOTUS LEAF; ACID-BASE APPROACH; ALUMINUM-OXIDE; FLUOROCARBON COATINGS; OIL REPELLENCY; CONTACT-ANGLE; FREE-ENERGY; WATER; PLASMA
205,AB-INITIO; STEREOSELECTIVE-SYNTHESIS; PERTURBATION-THEORY; DENSITY; DFT; ENERGY; ATOMS; ACID; FOCK; SET
206,BORON-DOPED DIAMOND; OXYGEN-TRANSFER REACTIONS; WASTE-WATER TREATMENT; ANODIC-OXIDATION; EXPERIMENTAL PARAMETERS; ORGANIC POLLUTANTS; DEGRADATION; PHENOL; ELECTROCATALYSIS; REMOVAL
207,DECOLORIZATION; DYES
208,AUTOCATALYTIC DEPOSITION; GLYOXYLIC-ACID; HYPOPHOSPHITE; INTERFACE
209,LACTIC-ACID BACTERIA; THYME ESSENTIAL OIL; CHEMICAL-COMPOSITION; LISTERIA-MONOCYTOGENES; ROSMARINUS-OFFICINALIS; ANTIBACTERIAL ACTIVITY; RAPID PURIFICATION; LAVANDULA-STOECHAS; MINCED BEEF; NISIN
210,HYDROCHLORIC-ACID; CARBON-STEEL; MOLECULAR-DYNAMICS; ADSORPTION; IMPEDANCE; BEHAVIOR; CHLORIDE; IRON
211,ESSENTIAL OILS; METHANOL EXTRACT; VERBENACEAE; CHEMISTRY; BACTERIA; FUNGI; L.
212,CALCIUM-CHANNEL BLOCKERS; ONE-POT SYNTHESIS; ACID-ESTERS; FLUORAPATITE; BEHAVIOR; CHLORIDE
213,PRECIPITATION
214,LEAVES
215,LOW-CARBON STEEL; 5L GRADE B; SCHIFF-BASE; MILD-STEEL; ADSORPTION; ALUMINUM; BEHAVIOR; BENZOTHIAZOLES; EFFICIENCY; EXTRACT
216,ELECTRONIC-ABSORPTION-SPECTRA; DIFFERENT SOLVENTS; DERIVATIVES; SCALE
217,HEAVY-METAL REMOVAL; AQUEOUS-SOLUTIONS; WASTE BIOMASS; SARGASSUM SP; ADSORPTION; CADMIUM; MECHANISM; CU2+; IONS; PB2+
218,COMPOSITES
219,MILD-STEEL CORROSION; ACID CORROSION; EXTRACT; PLANT; MEDIA
220,MILD-STEEL; HYDROCHLORIC-ACID; THERMODYNAMIC CHARACTERIZATION; C38 STEEL; ADSORPTION; HCL; ALUMINUM; VANILLIN; PURPALD; MEDIA
221,MILD-STEEL; HYDROCHLORIC-ACID; ELECTROCHEMICAL IMPEDANCE; 304-STAINLESS-STEEL; ADSORPTION; DISULFIDE; EXTRACT; HCL
222,CARBON-STEEL; GREEN INHIBITOR; HCL; DERIVATIVES; DENSITY; SIMULATION; BEHAVIOR; MEDIA; OIL; DFT
223,POLLUTION; IMPACT; SEDIMENTS; GROUNDWATER; TAILINGS; QUALITY; HEALTH; NORTH; INDEX
224,SOLID-PHASE EXTRACTION; SOLVENT-EXTRACTION; LIQUID-EXTRACTION; HEAVY-METALS; CADMIUM; ACID; BIOSORPTION; HYDROGELS; NI(II); CU(II)
225,WASTE COMPOST
226,CULTIVARS; PERIODS
227,SALINIZATION PROCESS; CHAOUIA
228,LAYERED DOUBLE HYDROXIDES; AQUEOUS-SOLUTION; ADSORBENT EQUILIBRIUM; CONGO RED; ADSORPTION; SORPTION; KINETICS; BLUE; CAPACITY; CHITOSAN
229,METHYLENE-BLUE ADSORPTION; PROCESS OPTIMIZATION; SHELL; WASTE; GREEN; CLAY
230,MILD-STEEL; HYDROCHLORIC-ACID; CARBON-STEEL; DERIVATIVES; SURFACE; MODEL
231,TUNGSTEN-BRONZE STRUCTURE; PHASE-TRANSITION; SR5RTI3NB7O30 R; RARE-EARTH; ND; SYSTEM; GD; SM
232,ESSENTIAL OILS; DNA-DAMAGE; CARVACROL; ORIGANUM; INHIBITION; TRIAZOLES; THYME
233,STAINLESS-STEEL POWDERS; COPPER-OXIDE; GREEN SYNTHESIS; STRUCTURED DUPLEX; LEAF EXTRACT; HEATING RATE; NANOPARTICLES; MICROSTRUCTURE; ANTIOXIDANT; REDUCTION
234,RADICAL SCAVENGING ACTIVITY; BIOLOGICAL-ACTIVITIES; NATURAL ANTIOXIDANTS; BY-PRODUCT; STABILIZATION; IDENTIFICATION; POLYPHENOLS; WASTEWATERS; FLAVONOIDS; BIOPHENOLS
235,TRANSFER RADICAL POLYMERIZATION; ESPARTO STIPA-TENACISSIMA; FIBERS; ACID; SOLVENT; ACETATE; ACETYLATION; COPOLYMERS; SPECTROSCOPY; METHACRYLATE
236,ESSENTIAL OILS; INHIBITORY CONCENTRATION; ANTIMICROBIAL ACTIVITY; CHEMICAL-COMPOSITION; CARVACROL; MECHANISM
237,CRYSTAL-STRUCTURE; HIRSHFELD SURFACE; COPPER(II) COMPLEXES; ANTITUMOR-ACTIVITY; SCHIFF-BASE; SOLVATOCHROMISM; LIGAND; DFT; TRIDENTATE; XRD
238,MILL WASTE-WATER; OLIVE; DEGRADATION; MEMBRANE
